courseType,courseNumber,courseTitle
ME,4875,Introduction To Nanomaterials And Nanotechnology
RE,3721,Topics In Religion: (Gender) Jihad
MIS,584,Business Intelligence
ID,2050,SOC SCI RES-IQP- Taipei Taiwan (WI)
AREN,3022,Architectural Design V - Building Envelope Design
OIE,4460,Global Planning And Logistics
AE,5431,Solid Mechanics for Aerospace Structures (2
HU,3910,PRAC IN HUA: Creating Algorithmic Music
MTE,575,Introduction To Nanomaterials And Nanotechnology
WPE,1011,Touch Football
OIE,544,Supply Chain Analysis And Design
CS,522,Numerical Methods
CHE,3722,Bioenergy
FP,575,Explosion Protection
CS,542,Database Management Systems
FY,1101,"GPS: Recover, Reuse"
ME,4324,Integrated Design of Mechanical System
ID,3527,Technical And Business Spanish
ID,2050,SOC SCI RES-IQP- Australia (WI)
MU,2301,Making Music With Machines
MIS,573,System Design And Development
ID,2050,SOC SCI RES-IQP- Namibia (WI)
MIS,500,Innovating With Information Systems
FY,1101,GPS: Power the World
ECE,545,Digital Image Processing
AREN,3003,Principles Of Hvac Design For Buildings
ID,2050,"SOC SCI RES-IQP- Boston, MA (WI)"
HI,2350,Topics In The History Of Science: Space and Time
IMGD,2000,Social Issues In Interactive Media And Games
WPE,1019,Soccer
HI,2921,Topics In Modern European History: Disability in European History
